date,symbol,forecast,ci_lower,ci_upper
2025-12-11,GC=F,4226.335664044026,4164.261861118773,4288.4094669692795
2025-12-12,GC=F,4229.704302876851,4132.615949029001,4326.792656724701
2025-12-13,GC=F,4227.506977280152,4109.857388571935,4345.156565988368
2025-12-14,GC=F,4228.940268296946,4091.1121197174866,4366.768416876405
2025-12-15,GC=F,4228.005348528156,4074.1786626990624,4381.8320343572495
2025-12-16,GC=F,4228.6151862818515,4059.366893007636,4397.8634795560665
2025-12-17,GC=F,4228.217395906412,4045.40646853522,4411.028323277604
2025-12-18,GC=F,4228.476870138425,4032.6975929257915,4424.256147351058
2025-12-19,GC=F,4228.307617986449,4020.5793142430266,4436.035921729872
2025-12-20,GC=F,4228.4180192803515,4009.260562164532,4447.57547639617
2025-12-21,GC=F,4228.346005745794,3998.4080992489003,4458.283912242688
2025-12-22,GC=F,4228.392979372426,3988.107044401915,4468.678914342938
2025-12-23,GC=F,4228.362338998883,3978.187857056597,4478.53682094117
2025-12-24,GC=F,4228.382325373327,3968.675543481033,4488.089107265621
2025-12-25,GC=F,4228.36928848385,3959.4805225235964,4497.258054444104
2025-12-26,GC=F,4228.377792301674,3950.6024338517605,4506.153150751587
2025-12-27,GC=F,4228.3722453560085,3941.9909537286135,4514.753536983404
2025-12-28,GC=F,4228.375863566895,3933.6366201629608,4523.1151069708285
2025-12-29,GC=F,4228.373503448227,3925.508895537648,4531.238111358805
2025-12-30,GC=F,4228.375042927351,3917.59614881328,4539.153937041423
2025-12-31,GC=F,4228.374038742263,3909.878279397203,4546.869798087323
2026-01-01,GC=F,4228.374693761014,3902.3441471814917,4554.405240340537
2026-01-02,GC=F,4228.374266499577,3894.9795102027706,4561.769022796383
2026-01-03,GC=F,4228.374545197454,3887.7745528440732,4568.974537550834
2026-01-04,GC=F,4228.374363405932,3880.7185689097964,4576.030157902068
2026-01-05,GC=F,4228.374481986517,3873.8031777121246,4582.945786260909
2026-01-06,GC=F,4228.374404637721,3867.0199693134336,4589.728839962009
2026-01-07,GC=F,4228.374455091479,3860.3618570738126,4596.387053109145
2026-01-08,GC=F,4228.374422181055,3853.822023252125,4602.926821109984
2026-01-09,GC=F,4228.374443648158,3847.3944730996045,4609.354414196712
